#time	 a1	 c1	 intFac1	 a2	 c2	 intFac2
25.50000|0	 0.001623|	 0.027108|	 1028.059613|	0.001541|	 0.076058|	 1028.766501|	0.001875|	 0.010515|	 1011.263440
26.00000|0	 0.001711|	 0.017298|	 1014.078434|	0.001569|	 0.046315|	 1037.259999|	0.247157|	 0.032607|	 1028.857536
26.50000|0	 0.001540|	 0.011189|	 1029.619737|	0.001532|	 0.028548|	 1011.346582|	0.452371|	 0.212413|	 1038.712504
27.00000|0	 0.001542|	 0.007445|	 1023.902216|	0.001537|	 0.017878|	 1027.487997|	0.001519|	 0.162431|	 1010.053074
27.50000|0	 0.001543|	 0.005265|	 1020.951664|	0.001540|	 0.011446|	 1020.803674|	0.001531|	 0.100372|	 1017.192412
28.00000|0	 0.003942|	 0.004579|	 1020.778514|	0.363672|	 0.053539|	 1011.980852|	0.001550|	 0.062207|	 1031.163617
28.50000|0	 0.001544|	 0.003875|	 1031.202473|	0.352016|	 0.219729|	 1024.837977|	0.001529|	 0.038653|	 1013.687210
29.00000|0	 0.001545|	 0.003323|	 1012.864822|	0.001520|	 0.150322|	 1032.209158|	0.001534|	 0.024143|	 1023.690840
29.50000|0	 0.001546|	 0.002895|	 1018.990378|	0.001533|	 0.093205|	 1011.593868|	0.001538|	 0.015252|	 1039.998009
30.00000|0	 0.367356|	 0.043758|	 1015.968774|	0.001554|	 0.058006|	 1032.276765|	0.001935|	 0.009939|	 1041.064440
30.50000|0	 0.406632|	 0.233239|	 1035.479384|	0.001530|	 0.036312|	 1029.210562|	0.001543|	 0.006635|	 1023.898656
31.00000|0	 0.001518|	 0.164930|	 1015.263575|	0.001535|	 0.022948|	 1050.246674|	0.001544|	 0.004623|	 1032.455208
31.50000|0	 0.001530|	 0.101639|	 1026.277808|	0.001538|	 0.014719|	 1040.685198|	0.001545|	 0.003422|	 1022.055013
32.00000|0	 0.001550|	 0.062869|	 1006.699039|	0.001951|	 0.009747|	 1029.570210|	0.018715|	 0.004359|	 1021.663890
32.50000|0	 0.001529|	 0.039122|	 1009.000244|	0.228826|	 0.034965|	 1039.131857|	0.587542|	 0.101481|	 1032.588299
33.00000|0	 0.001534|	 0.024559|	 1030.039981|	0.001523|	 0.067133|	 1033.966429|	0.003204|	 0.202474|	 1034.219502
33.50000|0	 0.001538|	 0.015639|	 1024.176828|	0.001528|	 0.043113|	 1016.845226|	0.001525|	 0.120814|	 1044.001819
34.00000|0	 0.001905|	 0.010233|	 1041.486724|	0.001623|	 0.027349|	 1021.574984|	0.001543|	 0.072651|	 1029.031527
34.50000|0	 0.292641|	 0.039238|	 1034.565973|	0.001709|	 0.017408|	 1032.047717|	0.001573|	 0.044209|	 1022.884787
35.00000|0	 0.421499|	 0.217104|	 1030.713856|	0.001540|	 0.011232|	 1024.298900|	0.001533|	 0.027255|	 1010.024594
35.50000|0	 0.001519|	 0.158593|	 1010.941460|	0.001542|	 0.007462|	 1039.305482|	0.001537|	 0.017086|	 1015.268017
36.00000|0	 0.001531|	 0.098007|	 1017.581941|	0.001543|	 0.005296|	 1024.714245|	0.001540|	 0.010963|	 1017.676240
36.50000|0	 0.001552|	 0.060730|	 1017.183978|	0.003949|	 0.004678|	 1023.700229|	0.363527|	 0.052745|	 1050.474504
37.00000|0	 0.001530|	 0.037710|	 1010.007533|	0.001544|	 0.003969|	 1034.492174|	0.356648|	 0.220858|	 1045.169839
37.50000|0	 0.001534|	 0.023535|	 1020.363499|	0.001545|	 0.003401|	 1035.272440|	0.001520|	 0.151428|	 1036.607105
38.00000|0	 0.001538|	 0.014860|	 1033.402869|	0.001546|	 0.002952|	 1021.784684|	0.001533|	 0.093850|	 1005.502904
38.50000|0	 0.001969|	 0.009694|	 1034.480794|	0.276093|	 0.030112|	 1017.120489|	0.001554|	 0.058382|	 1039.487831
39.00000|0	 0.001543|	 0.006734|	 1014.347832|	0.473365|	 0.225985|	 1033.814827|	0.001530|	 0.036533|	 1024.806539
39.50000|0	 0.001543|	 0.005218|	 1036.472419|	0.001517|	 0.174456|	 1013.262334|	0.001535|	 0.023077|	 1019.847643
40.00000|0	 0.001544|	 0.004296|	 1020.739879|	0.001529|	 0.107149|	 1041.740754|	0.001538|	 0.014794|	 1028.930038
40.50000|0	 0.004962|	 0.003996|	 1039.775170|	0.001547|	 0.065978|	 1042.399837|	0.002010|	 0.009788|	 1020.227046
41.00000|0	 0.101229|	 0.014599|	 1023.718279|	0.001576|	 0.040851|	 1040.466528|	0.450073|	 0.072540|	 1033.410052
41.50000|0	 0.003028|	 0.047089|	 1034.899397|	0.001534|	 0.025514|	 1018.204940|	0.212899|	 0.220164|	 1040.753458
42.00000|0	 0.001528|	 0.042263|	 1038.629097|	0.001538|	 0.016162|	 1025.297154|	0.001524|	 0.125506|	 1025.613590
42.50000|0	 0.001608|	 0.030989|	 1041.009805|	0.002152|	 0.010546|	 1044.221523|	0.001543|	 0.071748|	 1027.367449
43.00000|0	 0.001542|	 0.021683|	 1047.365822|	0.496179|	 0.090519|	 1033.545482|	0.001531|	 0.041758|	 1034.035117
43.50000|0	 0.001538|	 0.014879|	 1019.138523|	0.155751|	 0.218903|	 1028.818177|	0.001534|	 0.024759|	 1016.660151
44.00000|0	 0.001541|	 0.010209|	 1016.725590|	0.001522|	 0.137044|	 1007.134029|	0.001538|	 0.015029|	 1036.083415
44.50000|0	 0.003598|	 0.007260|	 1014.194702|	0.001537|	 0.084881|	 1019.015608|	0.001764|	 0.009426|	 1031.206084
45.00000|0	 0.562865|	 0.117646|	 1044.770758|	0.001526|	 0.052800|	 1018.285626|	0.001545|	 0.006333|	 1018.067262
45.50000|0	 0.021638|	 0.214505|	 1021.296923|	0.001531|	 0.033062|	 1011.799741|	0.001544|	 0.004384|	 1049.054575
46.00000|0	 0.001523|	 0.132551|	 1019.189242|	0.001535|	 0.020923|	 1039.542668|	0.001545|	 0.003243|	 1032.799653
46.50000|0	 0.001538|	 0.082147|	 1007.319021|	0.001754|	 0.013468|	 1045.359371|	0.002944|	 0.002645|	 1038.537593
47.00000|0	 0.001562|	 0.051142|	 1037.951400|	0.003606|	 0.009159|	 1036.788653|	0.356773|	 0.041949|	 1016.616547
47.50000|0	 0.001531|	 0.032059|	 1011.511230|	0.001540|	 0.011763|	 1050.502624|	0.428943|	 0.238141|	 1016.071788
48.00000|0	 0.001536|	 0.020315|	 1022.879719|	0.001540|	 0.011917|	 1030.318848|	0.001518|	 0.168964|	 1014.421198
48.50000|0	 0.001539|	 0.013090|	 1027.182025|	0.001541|	 0.009883|	 1030.698765|	0.001530|	 0.102068|	 1036.729356
49.00000|0	 0.006286|	 0.009116|	 1028.277882|	0.002206|	 0.007711|	 1037.749564|	0.001551|	 0.062058|	 1037.157057
49.50000|0	 0.561928|	 0.126921|	 1031.237363|	0.001549|	 0.006173|	 1016.691202|	0.001529|	 0.038058|	 1024.439239
50.00000|0	 0.003745|	 0.206567|	 1037.411699|	0.001543|	 0.005696|	 1014.577930|	0.001534|	 0.023613|	 1017.168869
50.50000|0	 0.001524|	 0.127162|	 1026.113120|	0.001542|	 0.007270|	 1034.207513|	0.001538|	 0.014904|	 1027.741286
51.00000|0	 0.001540|	 0.077297|	 1022.504482|	0.002153|	 0.008305|	 1029.164539|	0.018354|	 0.010957|	 1029.353669
